ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Iso
14046,Hassiba Boulmerka,F,24,158,49,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Track and Field,"Track and Field Women's 1,500 metres",Gold,dz
73857,Taoufik Makhloufi,M,24,170,67,Algeria,ALG,2012 Summer,2012,Summer,London,Track and Field,"Track and Field Men's 1,500 metres",Gold,dz
78805,Nouria Mrah-Benida,F,29,162,54,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Track and Field,"Track and Field Women's 1,500 metres",Gold,dz
81861,Noureddine Morceli,M,26,175,60,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Track and Field,"Track and Field Men's 1,500 metres",Gold,dz
112998,Hocine Soltani,M,23,165,60,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Lightweight,Gold,dz
7980,Team Australasia,M,NA,NA,NA,Australasia,ANZ,1908 Summer,1908,Summer,London,Rugby,Rugby Men's Rugby,Gold,anz
46968,Team Australasia,M,NA,NA,NA,Australasia,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,anz
30777,"Sarah Frances ""Fanny"" Durack (-Gately)",F,22,NA,NA,Australasia,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Gold,anz
4029,Team Argentina,M,NA,NA,NA,Argentina,ARG,1936 Summer,1936,Summer,Berlin,Polo,Polo Men's Polo,Gold,ar
6201,Team Argentina,M,NA,NA,NA,Argentina,ARG,2004 Summer,2004,Summer,"Athens,GR",Football,Football Men's Football,Gold,ar
7482,Team Argentina,M,NA,NA,NA,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold,ar
15770,Team Argentina,M,NA,NA,NA,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,ar
27256,Team Argentina,M,NA,NA,NA,Argentina,ARG,2004 Summer,2004,Summer,"Athens,GR",Basketball,Basketball Men's Basketball,Gold,ar
58740,Team Argentina,M,NA,NA,NA,Argentina,ARG,1924 Summer,1924,Summer,Paris,Polo,Polo Men's Polo,Gold,ar
6088,"ngel Pedro Victorio ""Vctor"" Avendao",M,20,NA,NA,Argentina,ARG,1928 Summer,1928,Summer,Amsterdam,Boxing,Boxing Men's Light-Heavyweight,Gold,ar
17174,Delfo Cabrera Gmez,M,29,172,59,Argentina,ARG,1948 Summer,1948,Summer,London,Track and Field,Track and Field Men's Marathon,Gold,ar
18063,Tranquilo Capozzo Zironda,M,34,NA,NA,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Double Sculls,Gold,ar
18752,Oscar Casanovas,M,22,NA,NA,Argentina,ARG,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Featherweight,Gold,ar
23820,Sebastian Eduardo Crismanich,M,25,183,79,Argentina,ARG,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Welterweight,Gold,ar
24426,Juan Esteban Curuchet,M,43,175,65,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Madison,Gold,ar
43598,Eduardo Guerrero,M,24,NA,NA,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Double Sculls,Gold,ar
51686,Argentino Rafael Iglesias,M,24,NA,NA,Argentina,ARG,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Heavyweight,Gold,ar
71740,Santiago Alberto Lovell Birnes,M,20,190,NA,Argentina,ARG,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,Gold,ar
91398,Paula Beln Pareto,F,30,150,48,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,Gold,ar
93387,Pascual Nicols Prez Alonso,M,22,NA,NA,Argentina,ARG,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Flyweight,Gold,ar
93409,Walter Fernando Prez,M,33,178,78,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Madison,Gold,ar
101480,Carmelo Ambrosio Robledo,M,20,165,NA,Argentina,ARG,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Featherweight,Gold,ar
101718,Arturo J. Rodrguez Jurado,M,20,NA,NA,Argentina,ARG,1928 Summer,1928,Summer,Amsterdam,Boxing,Boxing Men's Heavyweight,Gold,ar
133579,Juan Carlos Zabala Boyer,M,20,165,55,Argentina,ARG,1932 Summer,1932,Summer,Los Angeles,Track and Field,Track and Field Men's Marathon,Gold,ar
135260,Victoriano Alberto Zorrilla,M,22,NA,NA,Argentina,ARG,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,Gold,ar
18500,Cecilia Carranza Saroli,F,29,164,63,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold,ar
66437,Santiago Ral Lange Roberti,M,54,184,73,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold,ar
2497,Artur Aleksanyan,M,24,190,98,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,am
84861,Armen Lyudvikovich Nazaryan,M,22,162,60,Armenia,ARM,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold,am
2850,Team Australia,F,NA,NA,NA,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,au
4163,Team Australia,F,NA,NA,NA,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,au
9181,Team Australia,F,NA,NA,NA,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold,au
9562,Team Australia,F,NA,NA,NA,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,au
14946,Team Australia,M,NA,NA,NA,Australia,AUS,2004 Summer,2004,Summer,"Athens,GR",Hockey,Hockey Men's Hockey,Gold,au
18974,Team Australia,F,NA,NA,NA,Australia,AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,au
115768,Team Australia,F,NA,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Track and Field,Track and Field Women's 4 x 100 metres Relay,Gold,au
1534,Brett Aitken,M,29,173,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold,au
121024,Team Australia,M,NA,NA,NA,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,au
23694,Team Australia,F,NA,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,au
102563,Team Australia,M,NA,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,au
106938,Team Australia,F,NA,NA,NA,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,au
120087,Team Australia,M,NA,NA,NA,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,au
42771,Team Australia,M,NA,NA,NA,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,au
119835,Team Australia,F,NA,NA,NA,Australia,AUS,2004 Summer,2004,Summer,"Athens,GR",Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,au
120958,Team Australia,M,NA,NA,NA,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,Gold,au
44569,Team Australia,M,NA,NA,NA,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,au
3831,John Edward Anderson,M,33,183,89,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold,au
3864,"Thomas James ""Tom"" Anderson",M,33,183,89,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold,au
38195,Team Australia,F,NA,NA,NA,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,au
40449,Team Australia,M,NA,NA,NA,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,Gold,au
47749,Team Australia,F,NA,NA,NA,Australia,AUS,2004 Summer,2004,Summer,"Athens,GR",Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,au
131571,Team Australia,M,NA,NA,NA,Australia,AUS,2004 Summer,2004,Summer,"Athens,GR",Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,au
