id,name,parent_id
1,1896 Summer,0
2,1900 Summer,0
3,1904 Summer,0
4,1906 Summer,0
5,1908 Summer,0
6,1912 Summer,0
7,1920 Summer,0
8,1924 Summer,0
9,1924 Winter,0
10,1928 Summer,0
11,1928 Winter,0
12,1932 Summer,0
13,1932 Winter,0
14,1936 Summer,0
15,1936 Winter,0
16,1948 Summer,0
17,1948 Winter,0
18,1952 Summer,0
19,1952 Winter,0
20,1956 Summer,0
21,1956 Winter,0
22,1960 Summer,0
23,1960 Winter,0
24,1964 Summer,0
25,1964 Winter,0
26,1968 Summer,0
27,1968 Winter,0
28,1972 Summer,0
29,1972 Winter,0
30,1976 Summer,0
31,1976 Winter,0
32,1980 Summer,0
33,1980 Winter,0
34,1984 Summer,0
35,1984 Winter,0
36,1988 Summer,0
37,1988 Winter,0
38,1992 Summer,0
39,1992 Winter,0
40,1994 Winter,0
41,1996 Summer,0
42,1998 Winter,0
43,2000 Summer,0
44,2002 Winter,0
45,2004 Summer,0
46,2006 Winter,0
47,2008 Summer,0
48,2010 Winter,0
49,2012 Summer,0
50,2014 Winter,0
51,2016 Summer,0
52,2018 Winter,0
53,Cycling,1
54,Fencing,1
55,Gymnastics,1
56,Shooting,1
57,Swimming,1
58,Tennis,1
59,Track and Field,1
60,Weightlifting,1
61,Wrestling,1
62,Archery,2
63,Basque Pelota,2
64,Cricket,2
65,Croquet,2
66,Cycling,2
67,Equestrianism,2
68,Fencing,2
69,Football,2
70,Golf,2
71,Gymnastics,2
72,Polo,2
73,Rowing,2
74,Rugby,2
75,Sailing,2
76,Shooting,2
77,Swimming,2
78,Tennis,2
79,Track and Field,2
80,Tug-Of-War,2
81,Water Polo,2
82,Archery,3
83,Boxing,3
84,Cycling,3
85,Diving,3
86,Fencing,3
87,Football,3
88,Golf,3
89,Gymnastics,3
90,Lacrosse,3
91,Roque,3
92,Rowing,3
93,Swimming,3
94,Tennis,3
95,Track and Field,3
96,Tug-Of-War,3
97,Water Polo,3
98,Weightlifting,3
99,Wrestling,3
100,Cycling,4
101,Diving,4
102,Fencing,4
103,Football,4
104,Gymnastics,4
105,Rowing,4
106,Shooting,4
107,Swimming,4
108,Tennis,4
109,Track and Field,4
110,Tug-Of-War,4
111,Weightlifting,4
112,Wrestling,4
113,Archery,5
114,Boxing,5
115,Cycling,5
116,Diving,5
117,Fencing,5
118,Figure Skating,5
119,Football,5
120,Gymnastics,5
121,Hockey,5
122,Jeu De Paume,5
123,Lacrosse,5
124,Motorboating,5
125,Polo,5
126,Racquets,5
127,Rowing,5
128,Rugby,5
129,Sailing,5
130,Shooting,5
131,Swimming,5
132,Tennis,5
133,Track and Field,5
134,Tug-Of-War,5
135,Water Polo,5
136,Wrestling,5
137,Art Competitions,6
138,Cycling,6
139,Diving,6
140,Equestrianism,6
141,Fencing,6
142,Football,6
143,Gymnastics,6
144,Modern Pentathlon,6
145,Rowing,6
146,Sailing,6
147,Shooting,6
148,Swimming,6
149,Tennis,6
150,Track and Field,6
151,Tug-Of-War,6
152,Water Polo,6
153,Wrestling,6
154,Archery,7
155,Art Competitions,7
156,Boxing,7
157,Cycling,7
158,Diving,7
159,Equestrianism,7
160,Fencing,7
161,Figure Skating,7
162,Football,7
163,Gymnastics,7
164,Hockey,7
165,Ice Hockey,7
166,Modern Pentathlon,7
167,Polo,7
168,Rowing,7
169,Rugby,7
170,Sailing,7
171,Shooting,7
172,Swimming,7
173,Tennis,7
174,Track and Field,7
175,Tug-Of-War,7
176,Water Polo,7
177,Weightlifting,7
178,Wrestling,7
179,Art Competitions,8
180,Boxing,8
181,Cycling,8
182,Diving,8
183,Equestrianism,8
184,Fencing,8
185,Football,8
186,Gymnastics,8
187,Modern Pentathlon,8
188,Polo,8
189,Rowing,8
190,Rugby,8
191,Sailing,8
192,Shooting,8
193,Swimming,8
194,Tennis,8
195,Track and Field,8
196,Water Polo,8
197,Weightlifting,8
198,Wrestling,8
199,Alpinism,9
200,Bobsleigh,9
201,Cross Country Skiing,9
202,Curling,9
203,Figure Skating,9
204,Ice Hockey,9
205,Military Ski Patrol,9
206,Nordic Combined,9
207,Ski Jumping,9
208,Speed Skating,9
209,Art Competitions,10
210,Boxing,10
211,Cycling,10
212,Diving,10
213,Equestrianism,10
214,Fencing,10
215,Football,10
216,Gymnastics,10
217,Hockey,10
218,Modern Pentathlon,10
219,Rowing,10
220,Sailing,10
221,Swimming,10
222,Track and Field,10
223,Water Polo,10
224,Weightlifting,10
225,Wrestling,10
226,Bobsleigh,11
227,Cross Country Skiing,11
228,Figure Skating,11
229,Ice Hockey,11
230,Nordic Combined,11
231,Skeleton,11
232,Ski Jumping,11
233,Speed Skating,11
234,Alpinism,12
235,Art Competitions,12
236,Boxing,12
237,Cycling,12
238,Diving,12
239,Equestrianism,12
240,Fencing,12
241,Gymnastics,12
242,Hockey,12
243,Modern Pentathlon,12
244,Rowing,12
245,Sailing,12
246,Shooting,12
247,Swimming,12
248,Track and Field,12
249,Water Polo,12
250,Weightlifting,12
251,Wrestling,12
252,Bobsleigh,13
253,Cross Country Skiing,13
254,Figure Skating,13
255,Ice Hockey,13
256,Nordic Combined,13
257,Ski Jumping,13
258,Speed Skating,13
259,Aeronautics,14
260,Alpinism,14
261,Art Competitions,14
262,Basketball,14
263,Boxing,14
263,Canoeing,14
265,Cycling,14
266,Diving,14
267,Equestrianism,14
268,Fencing,14
269,Football,14
270,Gymnastics,14
271,Handball,14
272,Hockey,14
273,Modern Pentathlon,14
274,Polo,14
275,Rowing,14
276,Sailing,14
277,Shooting,14
278,Swimming,14
279,Track and Field,14
280,Water Polo,14
280,Weightlifting,14
282,Wrestling,14
283,Alpine Skiing,15
284,Bobsleigh,15
285,Cross Country Skiing,15
286,Figure Skating,15
287,Ice Hockey,15
288,Nordic Combined,15
289,Ski Jumping,15
290,Speed Skating,15
291,Art Competitions,16
292,Basketball,16
293,Boxing,16
294,Canoeing,16
295,Cycling,16
296,Diving,16
297,Equestrianism,16
298,Fencing,16
299,Football,16
300,Gymnastics,16
301,Hockey,16
302,Modern Pentathlon,16
303,Rowing,16
304,Sailing,16
305,Shooting,16
306,Swimming,16
307,Track and Field,16
308,Water Polo,16
309,Weightlifting,16
310,Wrestling,16
311,Alpine Skiing,17
312,Bobsleigh,17
313,Cross Country Skiing,17
314,Figure Skating,17
315,Ice Hockey,17
316,Nordic Combined,17
317,Skeleton,17
318,Ski Jumping,17
319,Speed Skating,17
320,Basketball,18
321,Boxing,18
322,Canoeing,18
323,Cycling,18
324,Diving,18
325,Equestrianism,18
326,Fencing,18
327,Football,18
328,Gymnastics,18
329,Hockey,18
330,Modern Pentathlon,18
331,Rowing,18
332,Sailing,18
333,Shooting,18
334,Swimming,18
335,Track and Field,18
336,Water Polo,18
337,Weightlifting,18
338,Wrestling,18
339,Alpine Skiing,19
340,Bobsleigh,19
341,Cross Country Skiing,19
342,Figure Skating,19
343,Ice Hockey,19
344,Nordic Combined,19
345,Ski Jumping,19
346,Speed Skating,19
347,Basketball,20
348,Boxing,20
349,Canoeing,20
350,Cycling,20
351,Diving,20
352,Equestrianism,20
353,Fencing,20
354,Football,20
355,Gymnastics,20
356,Hockey,20
357,Modern Pentathlon,20
358,Rowing,20
359,Sailing,20
360,Shooting,20
361,Swimming,20
362,Track and Field,20
363,Water Polo,20
364,Weightlifting,20
365,Wrestling,20
366,Alpine Skiing,21
367,Bobsleigh,21
368,Cross Country Skiing,21
369,Figure Skating,21
370,Ice Hockey,21
371,Nordic Combined,21
372,Ski Jumping,21
373,Speed Skating,21
374,Basketball,22
375,Boxing,22
376,Canoeing,22
377,Cycling,22
378,Diving,22
379,Equestrianism,22
380,Fencing,22
381,Football,22
382,Gymnastics,22
383,Hockey,22
384,Modern Pentathlon,22
385,Rowing,22
386,Sailing,22
387,Shooting,22
388,Swimming,22
389,Track and Field,22
390,Water Polo,22
391,Weightlifting,22
392,Wrestling,22
393,Alpine Skiing,23
394,Biathlon,23
395,Cross Country Skiing,23
396,Figure Skating,23
397,Ice Hockey,23
398,Nordic Combined,23
399,Ski Jumping,23
400,Speed Skating,23
401,Basketball,24
402,Boxing,24
403,Canoeing,24
404,Cycling,24
405,Diving,24
406,Equestrianism,24
407,Fencing,24
408,Football,24
409,Gymnastics,24
410,Hockey,24
411,Judo,24
412,Modern Pentathlon,24
413,Rowing,24
414,Sailing,24
415,Shooting,24
416,Swimming,24
417,Track and Field,24
418,Volleyball,24
419,Water Polo,24
420,Weightlifting,24
421,Wrestling,24
422,Alpine Skiing,25
423,Biathlon,25
424,Bobsleigh,25
425,Cross Country Skiing,25
426,Figure Skating,25
427,Ice Hockey,25
428,Luge,25
429,Nordic Combined,25
430,Ski Jumping,25
431,Speed Skating,25
432,Basketball,26
433,Boxing,26
434,Canoeing,26
435,Cycling,26
436,Diving,26
437,Equestrianism,26
438,Fencing,26
439,Football,26
440,Gymnastics,26
441,Hockey,26
442,Modern Pentathlon,26
443,Rowing,26
444,Sailing,26
