ID,Games,Sport,Event
1,1896 Summer,Gymnastics,Gymnastics Men's Rope Climbing
1,1896 Summer,Gymnastics,"Gymnastics Men's Parallel Bars, Teams"
1,1896 Summer,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams"
1,1896 Summer,Tennis,Tennis Men's Singles
1,1896 Summer,Tennis,Tennis Men's Doubles
1,1896 Summer,Track and Field,Track and Field Men's 100 metres
1,1896 Summer,Track and Field,Track and Field Men's 400 metres
1,1896 Summer,Track and Field,Track and Field Men's High Jump
1,1896 Summer,Track and Field,Track and Field Men's Long Jump
1,1896 Summer,Track and Field,Track and Field Men's Triple Jump
1,1896 Summer,Track and Field,Track and Field Men's 110 metres Hurdles
1,1896 Summer,Weightlifting,"Weightlifting Men's Unlimited, One Hand"
1,1896 Summer,Track and Field,Track and Field Men's 800 metres
1,1896 Summer,Track and Field,"Track and Field Men's 1,500 metres"
1,1896 Summer,Cycling,Cycling Men's 100 kilometres
1,1896 Summer,Gymnastics,Gymnastics Men's Parallel Bars
1,1896 Summer,Gymnastics,"Gymnastics Men's Parallel Bars, Teams"
1,1896 Summer,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams"
1,1896 Summer,Gymnastics,"Gymnastics Men's Parallel Bars, Teams"
1,1896 Summer,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams"
1,1896 Summer,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres"
1,1896 Summer,Track and Field,Track and Field Men's Shot Put
1,1896 Summer,Track and Field,Track and Field Men's Discus Throw
1,1896 Summer,Fencing,"Fencing Men's Sabre, Individual"
1,1896 Summer,Fencing,"Fencing Men's Foil, Individual"
1,1896 Summer,Swimming,Swimming Men's 100 metres Freestyle
1,1896 Summer,Swimming,"Swimming Men's 1,200 metres Freestyle"
1,1896 Summer,Gymnastics,"Gymnastics Men's Parallel Bars, Teams"
1,1896 Summer,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams"
1,1896 Summer,Track and Field,Track and Field Men's Pole Vault
1,1896 Summer,Weightlifting,"Weightlifting Men's Unlimited, Two Hands"
1,1896 Summer,Shooting,"Shooting Men's Military Rifle, 200 metres"
1,1896 Summer,Cycling,"Cycling Men's Road Race, Individual"
1,1896 Summer,Track and Field,Track and Field Men's Marathon
1,1896 Summer,Swimming,Swimming Men's 100 metres Freestyle For Sailors
1,1896 Summer,Gymnastics,"Gymnastics Men's Parallel Bars, Teams"
1,1896 Summer,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams"
1,1896 Summer,Cycling,Cycling Men's Sprint
1,1896 Summer,Cycling,Cycling Men's 333 metres Time Trial
1,1896 Summer,Cycling,"Cycling Men's 10,000 metres"
1,1896 Summer,Gymnastics,Gymnastics Men's Rings
1,1896 Summer,Gymnastics,"Gymnastics Men's Parallel Bars, Teams"
1,1896 Summer,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams"
1,1896 Summer,Swimming,Swimming Men's 500 metres Freestyle
1,1896 Summer,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres"
1,1896 Summer,Shooting,"Shooting Men's Military Pistol, 25 metres"
1,1896 Summer,Shooting,"Shooting Men's Free Pistol, 30 metres"
1,1896 Summer,Fencing,"Fencing Men's Foil, Masters, Individual"
1,1896 Summer,Gymnastics,"Gymnastics Men's Parallel Bars, Teams"
1,1896 Summer,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams"
1,1896 Summer,Cycling,Cycling Men's 12-Hours Race
1,1896 Summer,Gymnastics,"Gymnastics Men's Parallel Bars, Teams"
